Mip Table,Variable Name,Frequency,Dimensions,Standard Name,Long Name,Comment,Modeling Realm,Units,Positive,Cell Methods,Cell Measures
Amon,vas,mon,longitude latitude time height10m,northward_wind,Northward Near-Surface Wind,Northward component of the near surface wind,atmos,m s-1,,area: time: mean,area: areacella
Amon,wap,mon,longitude latitude plev19 time,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),"Omega (vertical velocity in pressure coordinates, positive downwards)",atmos,Pa s-1,,time: mean,area: areacella
Amon,zg,mon,longitude latitude plev19 time,geopotential_height,Geopotential Height,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",atmos,m,,time: mean,area: areacella
Eday,ta850,day,longitude latitude time p850,air_temperature,Air Temperature,Air temperature at 850hPa,atmos,K,,area: time: mean,area: areacella
Omon,hfds,mon,longitude latitude time,surface_downward_heat_flux_in_sea_water,Downward Heat Flux at Sea Water Surface,This is the net flux of heat entering the liquid water column through its upper surface (excluding any 'flux adjustment') .,ocean,W m-2,down,area: mean where sea time: mean,area: areacello
Omon,mlotst,mon,longitude latitude time,ocean_mixed_layer_thickness_defined_by_sigma_t,Ocean Mixed Layer Thickness Defined by Sigma T,Sigma T is potential density referenced to ocean surface.,ocean,m,,area: mean where sea time: mean,area: areacello
Omon,so,mon,longitude latitude olevel time,sea_water_salinity,Sea Water Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.",ocean,0.001,,area: mean where sea time: mean,area: areacello volume: volcello
Omon,sos,mon,longitude latitude time,sea_surface_salinity,Sea Surface Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.",ocean,0.001,,area: mean where sea time: mean,area: areacello
Omon,thetao,mon,longitude latitude olevel time,sea_water_potential_temperature,Sea Water Potential Temperature,Diagnostic should be contributed even for models using conservative temperature as prognostic field.,ocean,degC,,area: mean where sea time: mean,area: areacello volume: volcello
Omon,tos,mon,longitude latitude time,sea_surface_temperature,Sea Surface Temperature,"Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves.",ocean,degC,,area: mean where sea time: mean,area: areacello
Omon,uo,mon,longitude latitude olevel time,sea_water_x_velocity,Sea Water X Velocity,Prognostic x-ward velocity component resolved by the model.,ocean,m s-1,,time: mean,
Omon,vo,mon,longitude latitude olevel time,sea_water_y_velocity,Sea Water Y Velocity,Prognostic y-ward velocity component resolved by the model.,ocean,m s-1,,time: mean,
Omon,volo,mon,time,sea_water_volume,Sea Water Volume,Total volume of liquid sea water.,ocean,m3,,area: sum where sea time: mean,
Omon,wo,mon,longitude latitude olevel time,upward_sea_water_velocity,Sea Water Vertical Velocity,A velocity is a vector quantity. 'Upward' indicates a vector component which is positive when directed upward (negative downward).,ocean,m s-1,,time: mean,
Omon,zos,mon,longitude latitude time,sea_surface_height_above_geoid,Sea Surface Height Above Geoid,"This is the dynamic sea level, so should have zero global area mean. It should not include inverse barometer depressions from sea ice.",ocean,m,,area: mean where sea time: mean,area: areacello
Omon,zossq,mon,longitude latitude time,square_of_sea_surface_height_above_geoid,Square of Sea Surface Height Above Geoid,Surface ocean geoid defines z=0.,ocean,m2,,area: mean where sea time: mean,area: areacello
SImon,siconc,mon,longitude latitude time typesi,sea_ice_area_fraction,Sea-Ice Area Percentage (Ocean Grid),Percentage of grid cell covered by sea ice,seaIce,%,,area: mean where sea time: mean,area: areacello
SImon,sistrxdtop,mon,longitude latitude time,surface_downward_x_stress,X-Component of Atmospheric Stress on Sea Ice,X-component of atmospheric stress on sea ice,seaIce,N m-2,down,area: time: mean where sea_ice (comment: mask=siconc),
SImon,sistrydtop,mon,longitude latitude time,surface_downward_y_stress,Y-Component of Atmospheric Stress on Sea Ice,Y-component of atmospheric stress on sea ice,seaIce,N m-2,down,area: time: mean where sea_ice (comment: mask=siconc),
SImon,sithick,mon,longitude latitude time,sea_ice_thickness,Sea Ice Thickness,Actual (floe) thickness of sea ice (NOT volume divided by grid area as was done in CMIP5),seaIce ocean,m,,area: time: mean where sea_ice (comment: mask=siconc),area: areacello
SImon,siu,mon,longitude latitude time,sea_ice_x_velocity,X-Component of Sea-Ice Velocity,The x-velocity of ice on native model grid,seaIce,m s-1,,area: time: mean where sea_ice (comment: mask=siconc),
SImon,siv,mon,longitude latitude time,sea_ice_y_velocity,Y-Component of Sea-Ice Velocity,The y-velocity of ice on native model grid,seaIce,m s-1,,area: time: mean where sea_ice (comment: mask=siconc),
day,huss,day,longitude latitude time height2m,specific_humidity,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity.",atmos,1,,area: time: mean,area: areacella
day,pr,day,longitude latitude time,precipitation_flux,Precipitation,includes both liquid and solid phases,atmos,kg m-2 s-1,,area: time: mean,area: areacella
day,psl,day,longitude latitude time,air_pressure_at_mean_sea_level,Sea Level Pressure,Sea Level Pressure,atmos,Pa,,area: time: mean,area: areacella
day,rsds,day,longitude latitude time,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,Surface solar irradiance for UV calculations.,atmos,W m-2,down,area: time: mean,area: areacella
day,sfcWind,day,longitude latitude time height10m,wind_speed,Daily-Mean Near-Surface Wind Speed,"near-surface (usually, 10 meters) wind speed.",atmos,m s-1,,area: time: mean,area: areacella
day,sfcWindmax,day,longitude latitude time height10m,wind_speed,Daily Maximum Near-Surface Wind Speed,"Daily maximum near-surface (usually, 10 meters) wind speed.",atmos,m s-1,,area: mean time: maximum,area: areacella
day,tas,day,longitude latitude time height2m,air_temperature,Near-Surface Air Temperature,"near-surface (usually, 2 meter) air temperature",atmos,K,,area: time: mean,area: areacella
day,tasmax,day,longitude latitude time height2m,air_temperature,Daily Maximum Near-Surface Air Temperature,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: max')",atmos,K,,area: mean time: maximum,area: areacella
day,tasmin,day,longitude latitude time height2m,air_temperature,Daily Minimum Near-Surface Air Temperature,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute 'time: min')",atmos,K,,area: mean time: minimum,area: areacella
day,uas,day,longitude latitude time height10m,eastward_wind,Eastward Near-Surface Wind,"Eastward component of the near-surface (usually, 10 meters) wind",atmos,m s-1,,area: time: mean,area: areacella
day,vas,day,longitude latitude time height10m,northward_wind,Northward Near-Surface Wind,Northward component of the near surface wind,atmos,m s-1,,area: time: mean,area: areacella
